file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/src/update_db_schema.py,_has_column,function,12,15,4,2,0,3,False
_release_staging/CapsuleWardrobeRAG/src/update_db_schema.py,_add_column,function,17,18,2,1,0,3,False
_release_staging/CapsuleWardrobeRAG/src/update_db_schema.py,update_schema,function,20,53,34,5,1,0,False
_release_staging/CapsuleWardrobeRAG/src/wardrobe_stylist.py,get_wardrobe_context,function,10,21,12,2,1,0,True
_release_staging/CapsuleWardrobeRAG/src/wardrobe_stylist.py,ask_stylist,function,23,46,24,2,1,1,False
_release_staging/CapsuleWardrobeRAG/tests/conftest.py,pytest_sessionstart,function,8,16,9,2,1,1,True
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,init_test_db,function,15,41,27,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,make_test_jpeg_b64,function,44,48,5,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,client,function,52,88,37,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,test_health,function,91,94,4,3,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,test_unauthorized_requires_key,function,97,99,3,2,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,test_create_update_delete,function,102,187,86,30,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,test_validate_endpoint,function,190,204,15,6,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py,test_invalid_base64,function,207,211,5,3,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_category_map_other.py,test_category_map_includes_cat_other,function,7,11,5,5,0,0,False
_release_staging/CapsuleWardrobeRAG/tests/test_category_map_other.py,test_infer_maps_poncho_and_scarf_to_other,function,14,19,6,6,0,0,False
_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py,init_test_db,function,11,37,27,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py,client,function,41,73,33,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py,test_unauthorized_has_dict_detail_and_request_id,function,76,83,8,6,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py,test_v2_not_found_is_json_dict_even_with_fallback,function,86,93,8,6,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py,test_validation_error_is_normalized,function,96,105,10,6,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_handoff_make_run_dry.py,test_handoff_make_run_dry_records_ok_run,function,14,43,30,9,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_recover_orphan.py,_count_items,function,12,18,7,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_recover_orphan.py,test_recover_orphan_archive_folder_creates_db_row,function,21,47,27,4,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_wardrobe_dry_run.py,test_ingest_wardrobe_dry_run_records_run,function,13,61,49,8,0,2,False
