path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,ingest_wardrobe.py,.py,Python,other,_release_staging,26571,False,True,682,565,20,97,0,False,0,0,0,0,0,,,0.0,0,0,0,44.61,Moderate,55.8,L (500-999),large-file; low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.src.ingest_wardrobe,1,21,0,0,False,9,23,3,20,29,297,5.1,52,1.43,9,107,16775.96,26.65,447145.51,0.0,,,,,src; src.db_schema; src.run_registry,PIL; __future__; argparse; base64; dataclasses; gc; hashlib; inspect; io; json; logging; openai; os; pathlib; shutil; sqlite3; stat; sys; time; typing
_release_staging/CapsuleWardrobeRAG/src/category_map.py,category_map.py,.py,Python,other,_release_staging,10940,False,True,364,273,38,53,0,False,0,0,0,0,0,,,0.0,0,0,0,44.56,Moderate,106.48,M (200-499),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.src.category_map,0,7,0,0,False,0,3,0,3,24.14,114,12.14,65,0.86,2,85,7365.61,17.05,125580.75,8.35,,,,,,__future__; re; typing
src/run_registry.py,run_registry.py,.py,Python,application,src,11211,False,True,375,311,6,58,0,True,3,391,16,407,1,Andreas,2026-02-22T16:58:17+00:00,0.0,0,0,0,44.42,Moderate,16573.41,M (200-499),low-maintainability; high-complexity-function; high-churn,src.run_registry,1,15,5,0,False,8,12,2,10,14.8,55,3.9,21,1.1,3,78,8211.19,29.85,245117.71,7.72,,,,,src; src.db_schema,__future__; contextlib; dataclasses; datetime; json; re; sqlite3; time; typing; uuid
tests/test_api_v2_crud.py,test_api_v2_crud.py,.py,Python,test,tests,6725,False,True,211,169,4,38,0,True,7,314,103,417,2,Andreas; Andreas Keis,2026-02-22T17:25:22+00:00,0.0,0,0,0,40.22,Moderate,21332.56,S (50-199),low-maintainability; high-complexity-function; high-churn,tests.test_api_v2_crud,0,8,0,8,False,0,12,2,9,22.75,86,5.88,30,0,0,47,4533.59,10.77,48814.55,19.48,,,,,src; src.api_main,PIL; __future__; base64; fastapi.testclient; io; os; pathlib; pytest; sqlite3
tools/secret_scan.py,secret_scan.py,.py,Python,tooling,tools,7909,False,True,288,230,9,49,0,True,1,288,0,288,1,Andreas,2026-02-22T17:09:24+00:00,0.0,0,0,0,39.54,Moderate,16146.5,M (200-499),low-maintainability; high-complexity-function; high-churn,tools.secret_scan,1,9,0,0,False,4,8,0,8,16.89,37,6.11,16,1.89,4,55,6003.57,17.06,102440.8,14.63,,,,,,__future__; argparse; dataclasses; pathlib; re; subprocess; sys; typing
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,project_audit_dump.py,.py,Python,other,_release_staging,15290,False,True,446,350,26,70,0,False,0,0,0,0,0,,,0.0,0,0,0,36.26,Moderate,53.8,M (200-499),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.tools.project_audit_dump,1,14,0,0,True,27,14,0,14,23.14,147,5.36,24,1.43,4,75,11584.62,22.5,260701.45,5.96,,,,,,__future__; argparse; base64; dataclasses; datetime; fnmatch; hashlib; os; pathlib; platform; re; subprocess; sys; typing
tools/ingest_recover.py,ingest_recover.py,.py,Python,tooling,tools,7615,False,True,184,145,8,31,0,True,1,184,0,184,1,Andreas,2026-02-22T16:50:49+00:00,0.0,0,0,0,35.61,Moderate,11987.45,S (50-199),low-maintainability; high-complexity-function; high-churn,tools.ingest_recover,0,4,0,0,False,0,11,3,8,37,117,8,25,2,6,32,4393.0,19.25,84578.64,23.04,,,,,src; src.db_schema; src.run_registry,__future__; argparse; hashlib; json; pathlib; sqlite3; sys; typing
tools/ontology_runtime_dump.py,ontology_runtime_dump.py,.py,Python,tooling,tools,9604,False,True,263,214,4,45,0,True,1,263,0,263,1,Andreas,2026-02-21T15:18:14+00:00,0.0,0,0,0,33.77,Low,9826.99,M (200-499),low-maintainability; high-complexity-function; high-churn,tools.ontology_runtime_dump,0,10,0,0,True,15,8,0,8,21.2,128,3.8,16,1,3,38,7096.74,22.47,159434.76,17.09,,,,,,__future__; argparse; datetime; hashlib; json; pathlib; typing; yaml
tools/handoff_make.py,handoff_make.py,.py,Python,tooling,tools,7431,False,True,204,167,10,27,0,True,1,204,0,204,1,Andreas,2026-02-21T15:18:14+00:00,0.0,0,0,0,33.7,Low,11378.85,S (50-199),low-maintainability; high-complexity-function; high-churn,tools.handoff_make,0,4,0,0,True,17,9,0,9,40.75,151,6.5,20,0.75,2,26,5464.13,15.04,82201.87,21.85,,,,,,__future__; argparse; datetime; os; pathlib; shutil; subprocess; sys; typing
src/api_main.py,api_main.py,.py,Python,application,src,7124,False,True,212,158,8,46,0,True,4,266,54,320,2,Andreas; Andreas Keis,2026-02-21T23:29:23+00:00,0.0,0,0,0,33.32,Low,2350.34,S (50-199),low-maintainability; high-churn,src.api_main,0,0,0,0,False,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,run_registry.py,.py,Python,other,_release_staging,11211,False,True,375,311,6,58,0,False,0,0,0,0,0,,,0.0,0,0,0,32.89,Low,40.62,M (200-499),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.src.run_registry,1,15,5,0,False,8,12,2,10,14.8,55,3.9,21,1.1,3,78,8211.19,29.85,245117.71,7.72,,,,,src; src.db_schema,__future__; contextlib; dataclasses; datetime; json; re; sqlite3; time; typing; uuid
_release_staging/CapsuleWardrobeRAG/src/web_dashboard.py,web_dashboard.py,.py,Python,other,_release_staging,19295,False,True,611,465,22,124,0,False,0,0,0,0,0,,,0.0,0,0,0,32.51,Low,8.87,M (200-499),low-maintainability,_release_staging.CapsuleWardrobeRAG.src.web_dashboard,0,0,0,0,False,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,
src/db_schema.py,db_schema.py,.py,Python,application,src,6623,False,True,199,155,8,36,0,True,4,242,43,285,1,Andreas,2026-02-22T17:25:22+00:00,0.0,0,0,0,32.24,Low,2086.26,S (50-199),low-maintainability; high-churn,src.db_schema,0,0,0,0,False,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,secret_scan.py,.py,Python,other,_release_staging,7909,False,True,288,230,9,49,0,False,0,0,0,0,0,,,0.0,0,0,0,31.38,Low,55.87,M (200-499),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.tools.secret_scan,1,9,0,0,False,4,8,0,8,16.89,37,6.11,16,1.89,4,55,6003.57,17.06,102440.8,14.63,,,,,,__future__; argparse; dataclasses; pathlib; re; subprocess; sys; typing
tools/project_data_snapshot.py,project_data_snapshot.py,.py,Python,tooling,tools,8033,False,True,218,169,7,42,0,True,1,218,0,218,1,Andreas,2026-02-21T15:18:14+00:00,0.0,0,0,0,30.7,Low,8122.55,S (50-199),low-maintainability; high-churn,tools.project_data_snapshot,0,9,0,0,True,18,8,0,8,19.22,110,4,14,1.33,5,36,6524.53,23.5,153341.54,19.85,,,,,,__future__; argparse; datetime; hashlib; os; pathlib; sqlite3; typing
_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py,ingest_recover.py,.py,Python,other,_release_staging,7615,False,True,184,145,8,31,0,False,0,0,0,0,0,,,0.0,0,0,0,30.4,Low,64.8,S (50-199),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.tools.ingest_recover,0,4,0,0,False,0,11,3,8,37,117,8,25,2,6,32,4393.0,19.25,84578.64,23.04,,,,,src; src.db_schema; src.run_registry,__future__; argparse; hashlib; json; pathlib; sqlite3; sys; typing
tests/test_run_registry_redaction.py,test_run_registry_redaction.py,.py,Python,test,tests,2119,False,True,58,46,2,10,0,True,1,58,0,58,1,Andreas,2026-02-22T16:58:17+00:00,0.0,0,0,0,30.4,Low,5272.2,XS (<50),low-maintainability; high-complexity-function,tests.test_run_registry_redaction,0,1,0,1,False,0,7,3,4,46,46,15,15,0,0,15,1093.43,5.86,6404.35,40.43,,,,,src; src.db_schema; src.run_registry,__future__; json; pathlib; sqlite3
templates/index.html,index.html,.html,HTML,template,templates,16799,False,True,420,369,4,47,0,True,6,553,133,686,2,Andreas; Andreas Keis,2026-03-01T16:29:09+00:00,0.0,0,0,0,29.36,Low,5863.73,M (200-499),high-churn,,,,,,,,,,,,,,,,,,,,,,,,,,,
